gene,logFC,pvalue
RPL38,-0.6624090318224987,0.0005198016737228
DNAJC10,0.6162465433791313,0.0005210037403975
SMCO4,0.7731271255083438,0.0005218743907638
PTTG1IP,0.40815429960724,0.0005234240338673
SLC24A3,1.2837996496566353,0.0005265030343391
NUDT3,-1.2061726913508073,0.0005318342810668
CASP8AP2,0.4984415157237212,0.0005320439291157
HDHD1,0.5632669174510685,0.0005326193518025
TEX261,-1.591285685873407,0.0005349438110243
IRF2,0.4833996304545067,0.0005349646393418
LRRC15,2.429576207962139,0.0005361958730076
AR,-1.450764411359201,0.0005419386591141
CCNB2,0.944655588256646,0.0005425638206488
GSS,0.4866783849821363,0.0005460120638273
TIMP3,-1.406867924183123,0.0005478332883658
GNRH2,-0.9974914468364328,0.0005490855178869
NFKBIE,0.8723423565536557,0.0005573692940917
PSMB8,0.912522107818635,0.0005618019380477
PIM2,1.5675147038364523,0.0005642707157151
PLA2G2D,3.764055501973617,0.0005676372898899
GTF2IRD1,-0.8587309484055385,0.0005683159745744
AP3D1,-2.9035484388126696,0.0005722559649316
IL4,1.6649339985633862,0.0005730897743078
NCR3,1.4842435834591647,0.000577251298937
RAD51,1.5173549009002816,0.0005843880692503
GOT2,0.3730357499586887,0.000584651808235
IFI27,0.7657690143083791,0.0005851627675141
SHC1,-0.8444003406718839,0.0005876110146
STAT6,-0.6340587688168231,0.0005880394101115
PLEKHA1,-1.2655269220258063,0.0005976249574099
TMSB10,0.4061401152276964,0.000599241727227
KCNF1,-1.5638864069654792,0.0006005596179728
RAB29,0.5256466760536718,0.0006042735282387
RPS21,-1.2636963379311554,0.0006069139359964
UBXN1,-1.2236850426911845,0.0006083023030015
STK11,-0.5777366520980394,0.0006134644520492
RFX5,0.8769684146295393,0.0006278845798669
LOC730101,1.037912702630276,0.0006315311872035
CCL18,2.038157207285624,0.0006341140389286
ZBTB5,0.2967363720769,0.0006370292115336
SPCS2,0.4806950907074441,0.0006373985301074
EGR1,-2.171721945472507,0.0006400748567618
SLC9A5,-1.399635869269387,0.0006480218700265
SSTR3,-0.9181205047159544,0.0006547016733431
SEMA4G,-0.971255298348225,0.0006659038943601
PDCD1LG2,2.0885779751222584,0.0006690562173293
GBP2,0.544543850457254,0.000672896647167
CTC-425F1.4,-0.7490363004907596,0.000673580704355
CDCA4,-0.3778967909376352,0.0006806412488128
MAFK,-1.501301056816803,0.0006893869579914
AAMP,-0.4455205756636875,0.0006913836542579
EDC3,-0.6163844315169014,0.0006969018476012
MTCH1,0.1551056954484462,0.0007063735130314
