gene,logFC,pvalue
IFI16,-1.2783892173196918,0.00011443546607203852
EPAS1,-1.8965689131072168,0.00011531267414716384
TRAT1,3.0582409146555904,0.00011639587744970343
HLA-DOB,2.841359360117888,0.00011646566947247323
CD79B,1.420065342360723,0.00012074021846135674
ATF6B,-1.1814024400684948,0.00012130514018550997
TCHH,-1.3696482394338778,0.00012411114429462092
RPL14,-1.9179930051925478,0.0001246441067323789
PPAP2B,-1.6636348709032767,0.0001257872067806785
LY75,1.1912616487318104,0.00012605946433554965
THAP3,-1.5647183265535398,0.00012621181175222969
IL1R1,-2.6750245762401956,0.0001266539145419455
BRD7,0.3675121796481253,0.00012785999831196822
TBC1D9,1.0963184167448432,0.00012919195933772345
RBM25,-1.0573863516663193,0.0001298405801539898
BTN2A2,1.4607624238118158,0.0001320926244922594
PDK3,2.3702870703131973,0.0001344869913382061
FXR1,-0.648457969849872,0.00013569512569205732
ILF3,-2.092089007673194,0.00013619128904064347
ATXN7L3B,-1.6100164920584987,0.0001403229657086574
LOC101928789,1.4702948274774092,0.00014121900740126416
LRCH1,-1.7153009381561022,0.000143206712925218
GGH,1.0754710762173838,0.00014429766087405485
FKBP5,-4.0405505742546985,0.00014576245068269867
OBFC1,0.7227841358238809,0.00014661416158581842
CELF1,-1.6012044688201836,0.0001486668182939693
CSF2,-1.2656735168849824,0.00014937908923410754
CBFA2T3,0.8138265503194599,0.00015313498013105442
SLC12A8,1.3567666922525827,0.00015380204396220424
LGALS2,2.3824163002435768,0.00015526135235582306
ELOVL2,2.0823308058295695,0.00015567408049459793
WIZ,-1.5544176253100952,0.00015653757909485336
TXNDC15,0.6993091254249979,0.00015793977751602604
CAMTA1,1.6374334184503523,0.00015802458821806114
IGKV1OR2-108,4.701106764939674,0.00015813051393967208
NDRG2,-1.9197713691397338,0.00015980501192835116
GAS8,-0.9976113822452541,0.000161144221948527
LAX1,1.646028400456803,0.00016478164261655753
KCNJ3,1.6191539179596333,0.00016836805237142036
FNDC4,-2.0916519610982878,0.0001709709273723709
NADK,-1.5434209697291745,0.00017259696163521895
TNFRSF4,2.1582455033236814,0.00017304829121593955
NFIC,-1.692655916153985,0.00017485876062233322
ADCY2,-2.4722636356450867,0.00017553674490146333
IL15RA,0.8730600339182821,0.00017624591609660347
TMEM156,2.2019534077461453,0.00017884661325888893
Y16709,-0.4682943305964091,0.00018020413862059322
SEPT9,-3.0023340660282245,0.00018205521137743013
ATP6V0E1,-1.1206422975549328,0.0001822280705798605
PRKACA,-1.6728562307857153,0.00018287516320159404
CCNB1,0.9918077565379209,0.00018369664610250753
SECISBP2L,-0.8649564115730062,0.0001842093443199649
ARAP2,0.8919478541250747,0.00018568927001535136
TOX,1.629935593199317,0.00018686371748358259
MIR612,-2.002049335863851,0.00018819973435445534
RFTN1,0.8596873412041646,0.00018982295263023525
ARNTL2,0.9206911044808823,0.00019098134899519617
CACTIN,-0.7117639400769686,0.00019209675582054975
LOC102723479,1.845010382026821,0.0001937492346702436
GJB1,-1.2587037647911918,0.00020117771299711824
PHF11,0.5078279647987802,0.0002015246280211728
RGS12,-1.9493055066216343,0.00020230390049382927
SEMA4A,1.0125813110270645,0.00020513247992491983
IL1RL2,-2.090248072162903,0.0002086206456566042
IGLJ3,3.2035492847946445,0.00021140089423666013
TBL1X,-1.3724609890515431,0.0002121952642962209
HSPA4,-1.315804502544963,0.00021315888010458735
MS4A1,2.869516882035475,0.00021461641297133182
EEF1A1,-0.23829470108801232,0.0002161749970090184
IGHG1,3.3752635813103673,0.00021621142826787291
PXN,-2.899894888532977,0.00021673796794572652
FUS,-1.0656667385712844,0.00022027653671660027
PRDM2,-1.673668131851688,0.0002222303958653481
CES1P1,-1.865535186464872,0.00022470352192174682
ZFP36L2,-1.8842051165694444,0.0002252984614152055
HRH1,-1.1161223924853125,0.00022708726305998268
ANKRD11,-1.5951554410651188,0.00023287695408345495
PSMB10,1.0428595094243214,0.00023883816180049792
COL6A1,-2.8621335741108442,0.00023978517677077088
SLAMF1,1.4518967574081074,0.00024103312615848932
DIP2C,-0.555823675027959,0.00024396816375651514
GZMK,2.600537124480341,0.00024473762362327756
AFTPH,0.3663115127407792,0.0002466577536665976
CD72,2.2970723308025462,0.0002473658020893334
IFT27,0.42874097497378116,0.0002502668391503793
TTC3,-2.4896349483032827,0.0002508918030568565
KIF14,0.8686772564806908,0.00025323653289896877
SH3BP5,-0.8015320101022141,0.0002554195185398138
SRSF5,-2.3009392706288754,0.000256465797313866
CCDC9,-0.39294761828062086,0.00025662567888115096
